team_abbr,team_name,city
BUF,Buffalo Bills,"Orchard Park, New York"
MIA,Miami Dolphins,"Miami Gardens, Florida"
NE,New England Patriots,"Foxborough, Massachusetts"
NYJ,New York Jets,"East Rutherford, New Jersey"
DEN,Denver Broncos,"Denver, Colorado"
KC,Kansas City Chiefs,"Kansas City, Missouri"
LV,Las Vegas Raiders,"Paradise, Nevada"
LAC,Los Angeles Chargers,"Inglewood, California"
BAL,Baltimore Ravens,"Baltimore, Maryland"
CIN,Cincinnati Bengals,"Cincinnati, Ohio"
CLE,Cleveland Browns,"Cleveland, Ohio"
PIT,Pittsburgh Steelers,"Pittsburgh, Pennsylvania"
HOU,Houston Texans,"Houston, Texas"
IND,Indianapolis Colts,"Indianapolis, Indiana"
JAX,Jacksonville Jaguars,"Jacksonville, Florida"
TEN,Tennessee Titans,"Nashville, Tennessee"
DAL,Dallas Cowboys,"Arlington, Texas"
NYG,New York Giants,"East Rutherford, New Jersey"
PHI,Philadelphia Eagles,"Philadelphia, Pennsylvania"
WAS,Washington Commanders,"Landover, Maryland"
ARI,Arizona Cardinals,"Glendale, Arizona"
LA,Los Angeles Rams,"Inglewood, California"
SF,San Francisco 49ers,"Santa Clara, California"
SEA,Seattle Seahawks,"Seattle, Washington"
CHI,Chicago Bears,"Chicago, Illinois"
DET,Detroit Lions,"Detroit, Michigan"
GB,Green Bay Packers,"Green Bay, Wisconsin"
MIN,Minnesota Vikings,"Minneapolis, Minnesota"
ATL,Atlanta Falcons,"Atlanta, Georgia"
CAR,Carolina Panthers,"Charlotte, North Carolina"
NO,New Orleans Saints,"New Orleans, Louisiana"
TB,Tampa Bay Buccaneers,"Tampa, Florida"
