nflId,name,position,age,height,weight,team_name
25511,Tom Brady,QB,47.0,76,225,TB
29851,Aaron Rodgers,QB,40.0,74,225,GB
30842,Marcedes Lewis,TE,40.0,78,267,GB
33084,Matt Ryan,QB,39.0,76,217,IND
33099,Joe Flacco,QB,39.0,78,245,NYJ
33131,Calais Campbell,DE,38.0,80,300,BAL
33138,Chad Henne,QB,39.0,75,222,KC
34452,Matthew Stafford,QB,36.0,75,220,LA
35443,Trent Williams,T,36.0,77,320,SF
35449,Tyson Alualu,NT,37.0,75,304,PIT
35452,Brandon Graham,DE,36.0,74,265,PHI
35459,Kareem Jackson,SS,36.0,70,185,DEN
35466,Devin McCourty,FS,37.0,70,195,NE
35470,Jerry Hughes,DE,36.0,74,254,HOU
35472,Rodger Saffold,G,36.0,77,325,BUF
35493,Carlos Dunlap,OLB,35.0,78,285,KC
35562,Al Woods,NT,37.0,76,330,SEA
37075,Von Miller,OLB,35.0,75,250,BUF
37077,A.J. Green,WR,36.0,76,210,ARI
37078,Patrick Peterson,CB,34.0,73,203,MIN
37079,Julio Jones,WR,35.0,75,220,TB
37087,Robert Quinn,OLB,34.0,76,257,CHI
37097,Cameron Jordan,DE,35.0,76,287,NO
37101,Mark Ingram,RB,34.0,69,215,NO
37104,Cameron Heyward,DT,35.0,77,295,PIT
37130,Rodney Hudson,C,35.0,74,315,ARI
37139,Randall Cobb,WR,34.0,70,192,GB
37145,Justin Houston,OLB,35.0,75,270,BAL
37266,Jason Kelce,C,37.0,75,295,PHI
37308,Lawrence Guy,DT,34.0,76,315,NE
37778,Josh Bynes,ILB,35.0,73,235,BAL
38538,Ryan Tannehill,QB,36.0,76,207,TEN
38540,Stephon Gilmore,CB,34.0,73,202,IND
38542,Fletcher Cox,DT,33.0,76,310,PHI
38544,Michael Brockers,DE,33.0,77,305,DET
38548,Melvin Ingram,OLB,35.0,74,247,MIA
38551,Chandler Jones,DE,34.0,77,265,LV
38557,Kevin Zeitler,G,34.0,76,315,BAL
38559,Harrison Smith,SS,35.0,74,214,MIN
38577,Bobby Wagner,ILB,34.0,72,242,LA
