game_id,Home_team,away_team,points_scored,passing_yards,rushing_yards,receiving_yards,touchdowns,receptions,fumbles_lost,expected_points,player_id
1,MIA,DEN,34,148,78,72,3,2,1,13,25511
2,JAX,HOU,32,74,137,5,4,2,1,79,25511
3,BUF,PHI,43,282,163,198,1,6,0,38,25511
4,KC,NYJ,41,31,122,96,1,9,2,40,25511
5,CHI,SEA,45,35,170,58,1,0,0,34,25511
6,NYJ,NO,20,17,13,45,3,1,2,29,25511
7,CLE,PHI,47,128,14,61,2,3,1,46,25511
8,DEN,NYJ,43,220,92,6,4,9,2,31,25511
9,DAL,DEN,23,130,166,36,4,0,2,5,29851
10,CLE,LV,43,356,50,184,4,4,2,39,29851
11,HOU,NE,44,304,9,18,4,6,2,18,29851
12,HOU,NO,20,145,182,38,2,8,2,15,29851
13,ARI,TEN,10,352,140,109,0,7,2,36,29851
14,WAS,DAL,49,457,3,127,4,7,0,80,29851
15,NO,CLE,10,187,29,137,0,7,1,79,29851
16,IND,GB,34,439,185,186,2,3,2,22,29851
17,LA,CLE,43,159,112,46,2,0,1,52,30842
18,NYJ,CAR,19,223,196,62,3,7,2,86,30842
19,DAL,DEN,26,222,88,185,0,9,2,67,30842
20,KC,WAS,36,396,36,163,0,9,2,84,30842
21,NYG,CHI,43,278,121,121,0,3,2,78,30842
22,LAC,DAL,16,183,76,115,2,8,2,35,30842
23,HOU,DET,35,109,106,135,3,9,1,84,30842
24,PHI,PIT,35,152,112,25,2,5,1,45,30842
25,NO,PIT,33,29,115,103,3,8,0,24,33084
26,TEN,BAL,17,74,127,147,0,0,0,55,33084
27,NYG,MIA,41,279,174,112,1,6,2,92,33084
28,CHI,IND,35,294,6,169,4,7,0,49,33084
29,DEN,KC,49,80,35,70,2,3,0,46,33084
30,DAL,SF,37,338,190,99,2,8,2,96,33084
31,NO,JAX,24,45,92,54,1,9,2,55,33084
32,CLE,ATL,17,55,161,39,1,6,2,22,33084
33,JAX,NYG,24,373,140,18,2,4,1,72,33099
