nflId,name,position,age,height,weight,team_name,team_id
25511,Tom Brady,QB,47.0,76,225,TB,32
29851,Aaron Rodgers,QB,40.0,74,225,GB,27
30842,Marcedes Lewis,TE,40.0,78,267,GB,27
33084,Matt Ryan,QB,39.0,76,217,IND,30
33099,Joe Flacco,QB,39.0,78,245,NYJ,9
33131,Calais Campbell,DE,38.0,80,300,BAL,18
33138,Chad Henne,QB,39.0,75,222,KC,17
34452,Matthew Stafford,QB,36.0,75,220,LA,1
35443,Trent Williams,T,36.0,77,320,SF,24
35449,Tyson Alualu,NT,37.0,75,304,PIT,23
35452,Brandon Graham,DE,36.0,74,265,PHI,29
35459,Kareem Jackson,SS,36.0,70,185,DEN,25
35466,Devin McCourty,FS,37.0,70,195,NE,31
35470,Jerry Hughes,DE,36.0,74,254,HOU,7
35472,Rodger Saffold,G,36.0,77,325,BUF,28
35493,Carlos Dunlap,OLB,35.0,78,285,KC,17
35562,Al Woods,NT,37.0,76,330,SEA,16
37075,Von Miller,OLB,35.0,75,250,BUF,28
37077,A.J. Green,WR,36.0,76,210,ARI,11
37078,Patrick Peterson,CB,34.0,73,203,MIN,13
37079,Julio Jones,WR,35.0,75,220,TB,32
37087,Robert Quinn,OLB,34.0,76,257,CHI,4
37097,Cameron Jordan,DE,35.0,76,287,NO,21
37101,Mark Ingram,RB,34.0,69,215,NO,21
37104,Cameron Heyward,DT,35.0,77,295,PIT,23
37130,Rodney Hudson,C,35.0,74,315,ARI,11
37139,Randall Cobb,WR,34.0,70,192,GB,27
37145,Justin Houston,OLB,35.0,75,270,BAL,18
37266,Jason Kelce,C,37.0,75,295,PHI,29
37308,Lawrence Guy,DT,34.0,76,315,NE,31
37778,Josh Bynes,ILB,35.0,73,235,BAL,18
38538,Ryan Tannehill,QB,36.0,76,207,TEN,14
38540,Stephon Gilmore,CB,34.0,73,202,IND,30
38542,Fletcher Cox,DT,33.0,76,310,PHI,29
38544,Michael Brockers,DE,33.0,77,305,DET,6
38548,Melvin Ingram,OLB,35.0,74,247,MIA,8
38551,Chandler Jones,DE,34.0,77,265,LV,26
38557,Kevin Zeitler,G,34.0,76,315,BAL,18
38559,Harrison Smith,SS,35.0,74,214,MIN,13
38577,Bobby Wagner,ILB,34.0,72,242,LA,1
38588,Lavonte David,ILB,34.0,73,233,TB,32
38592,Casey Hayward,CB,35.0,71,192,ATL,2
38605,Russell Wilson,QB,35.0,71,215,DEN,25
38607,Demario Davis,MLB,35.0,74,248,NO,21
38619,Akiem Hicks,DT,34.0,76,352,TB,32
38629,Ben Jones,C,35.0,75,308,TEN,14
38632,Kirk Cousins,QB,36.0,75,202,MIN,13
38696,Marvin Jones,WR,34.0,74,198,JAX,20
38779,Kelvin Beachum,T,35.0,75,308,ARI,11
38843,Rodney McLeod,FS,34.0,70,195,IND,30
